sector_code,row_idx,col_idx,weather_score,sea_state,sensor_confidence,elapsed_search_minutes,reported_anomalies,coverage_ratio,has_ground_truth_anomaly
A01,0,0,0.52,0.41,0.78,55,1,0.62,false
A02,0,1,0.83,0.74,0.42,125,4,0.37,true
A03,0,2,0.66,0.58,0.69,80,2,0.51,false
A04,0,3,0.48,0.28,0.86,42,0,0.82,false
B01,1,0,0.61,0.47,0.55,96,2,0.44,false
B02,1,1,0.72,0.69,0.49,110,3,0.33,true
B03,1,2,0.35,0.21,0.88,27,0,0.93,false
B04,1,3,0.81,0.76,0.38,141,4,0.29,true
C01,2,0,0.54,0.49,0.67,66,1,0.57,false
C02,2,1,0.75,0.63,0.47,132,3,0.40,true
C03,2,2,0.39,0.26,0.84,34,0,0.88,false
C04,2,3,0.69,0.59,0.53,104,2,0.46,false
D01,3,0,0.58,0.44,0.71,73,1,0.69,false
D02,3,1,0.84,0.79,0.36,148,5,0.25,true
D03,3,2,0.42,0.32,0.82,39,0,0.91,false
D04,3,3,0.64,0.57,0.59,97,2,0.52,false
